Title,Like,Dislike,Reactions,Views,Comments,Orientamento,URL
#SJW Feminist Festival Crashed By Crowder...In Underwear,179435,5085,184520,20933759,28155,antifeminist,https://youtube.com/watch?v=aWJT0egzAy0
Instant Karma - Feminist Edition,264458,28766,293224,17431065,56528,antifeminist,https://youtube.com/watch?v=uGUsv8-uATE
"Jordan Peterson debate on the gender pay gap, campus protests and postmodernism",313440,10080,323520,13237793,116178,antifeminist,https://youtube.com/watch?v=aMcjxSThD54
Student DESTROYS Feminist Teacher with FACTS,342979,29684,372663,12909322,64695,antifeminist,https://youtube.com/watch?v=6W1N_iq7YTg
36 STUPID FEMINIST QUESTIONS ANSWERED,672400,18974,691374,11038257,144926,antifeminist,https://youtube.com/watch?v=8M7KGe2UnmE
DO NOT EVER SAY HELLO TO A FEMINIST,165973,19113,185086,10108804,58663,antifeminist,https://youtube.com/watch?v=Y1LMu8V8ZlI
UNDERCOVER: SJW Fat-Pride Feminist Panel Crashed By Crowder!,86859,3536,90395,9167160,17687,antifeminist,https://youtube.com/watch?v=lPLwiPXyFCg
Man Eats Steak in Front of Feminist Vegan,196989,25514,222503,8650272,93458,antifeminist,https://youtube.com/watch?v=8M12q1z_nRc
Instant karma - Instant justice - Compilation 2016 (Feminist Edition),118642,15946,134588,7491127,23259,antifeminist,https://youtube.com/watch?v=E9A9x13LKyQ
"Feminist ""Mansplaining"" Video Goes Wrong",178629,10938,189567,7135568,27796,antifeminist,https://youtube.com/watch?v=jmeTnVywvwU
Bill Burr on feminism,85755,3044,88799,6552264,6122,antifeminist,https://youtube.com/watch?v=N0vZhz3sN_E
This Is Not A Feminist Song - SNL,109684,3821,113505,6539838,5439,feminist,https://youtube.com/watch?v=YfiLAcERNQ4
Crazy Feminist Gets Triggered by Lyft Driver,241095,3090,244185,6221251,30707,antifeminist,https://youtube.com/watch?v=LNmvEkikg1k
Feminist cringe compilation,109565,5746,115311,6215673,74917,antifeminist,https://youtube.com/watch?v=8Y7L_q65jrE
FEMINISM VS LOGIC (OWNED COMPILATION) #2,88356,5504,93860,6165541,19338,antifeminist,https://youtube.com/watch?v=5cIvH-iZZfA
BuzzFeed: The McDonald's of Feminism,284357,3864,288221,5804196,23528,antifeminist,https://youtube.com/watch?v=8cgFrX0Y8TE
Perché le Femministe non combattono per le Donne Musulmane?,86825,9553,96378,5671572,18784,neutral,https://youtube.com/watch?v=wJkFQohIKNI
Jordan Peterson calmly dismantles feminism infront of two feminists,67075,6934,74009,5643660,22670,antifeminist,https://youtube.com/watch?v=Ddzf9Mm4hdY
FEMINISM VS LOGIC (OWNED COMPILATION) #3,65004,4146,69150,5312800,15977,antifeminist,https://youtube.com/watch?v=8GvwYOfHXMM
We should all be feminists | Chimamanda Ngozi Adichie | TEDxEuston,135083,19181,154264,5175312,21781,feminist,https://youtube.com/watch?v=hg3umXU_qWc
CRAZY Feminist tries to get me fired: BACKFIRES SPECTACULARLY,128966,5483,134449,4604327,32278,antifeminist,https://youtube.com/watch?v=p5TMmxlsLN8
Inside The Weird World of an Islamic 'Feminist' Cult,33928,8749,42677,4595341,20419,neutral,https://youtube.com/watch?v=7bH21w2R0hc
Ali G - Feminism,12810,583,13393,4552482,2134,antifeminist,https://youtube.com/watch?v=oftOCN1jkNo
COTW - FEMINIST BRUCE LEE,113283,839,114122,4419440,7122,antifeminist,https://youtube.com/watch?v=6y43ZpfUswk
Ronda Rousey Vs Feminist Bullshit compilation,64280,1689,65969,4203584,9935,feminist,https://youtube.com/watch?v=frZzlRCdJ-I
Feminists Are Trying to Ruin Boy Scouts,160034,8042,168076,4106138,56658,antifeminist,https://youtube.com/watch?v=0B9QKDbvRXI
Feminist Cringe Compilation #2,54520,5266,59786,3803657,7265,antifeminist,https://youtube.com/watch?v=ePq1pWEZGa8
Potty-Mouthed Princesses Drop F-Bombs for Feminism by FCKH8.com,54040,152374,206414,3789072,61636,feminist,https://youtube.com/watch?v=XqHYzYn3WZw
Daz Watches Crazy Feminists,129733,1640,131373,3482782,31303,antifeminist,https://youtube.com/watch?v=gwZr6mccKWs
Jordan Peterson Leaves Feminist Speechless,51210,1699,52909,3410706,7711,antifeminist,https://youtube.com/watch?v=Mufh9oKYf5Y
MILO YIANNOPOULOS CRUSHES A FEMINIST,39975,2453,42428,3385138,14565,antifeminist,https://youtube.com/watch?v=0n76ZozxQAM
BEST FEMINIST & SJW FAIL COMPILATION 2016 #5 (TRIGGERED EDITION),63032,2622,65654,3243311,26633,antifeminist,https://youtube.com/watch?v=DNrsCGAvvHs
FEMINIST CRINGE COMPILATION 2016,39760,3574,43334,3217560,14985,antifeminist,https://youtube.com/watch?v=ngeiKVA3w10
FEMINIST CRINGE COMPILATION #3,52111,7398,59509,3144715,28741,antifeminist,https://youtube.com/watch?v=2zqiGsYEx2E
Ali G  -  How to troll a Feminist !,17496,1031,18527,3039799,3751,antifeminist,https://youtube.com/watch?v=XS_kqEKSOJw
Can Feminists and Non-Feminists Agree On Gender Equality?,89486,3938,93424,3021040,33887,neutral,https://youtube.com/watch?v=E37swnRU2fs
Instant Karma - Feminist Edition #2,37619,7384,45003,2927296,11731,antifeminist,https://youtube.com/watch?v=vaTr3WE6oEs
Emma Watson alla campagna HeForShe  2014 - Video ufficiale dell'ONU,55195,3852,59047,2813776,10228,feminist,https://youtube.com/watch?v=gkjW9PZBRfk
The Myth of the Gender Wage Gap,102549,11972,114521,2804510,20173,antifeminist,https://youtube.com/watch?v=1oqyrflOQFc
Crazy Feminist Arrested,45940,2014,47954,2800258,33342,antifeminist,https://youtube.com/watch?v=3zHRQn_IShw
Feminists Pay Kids To Hate Men,115826,10365,126191,2780912,31258,antifeminist,https://youtube.com/watch?v=tHRbNBQ4ffo
borat feminist scene,24545,539,25084,2776008,1696,neutral,https://youtube.com/watch?v=NVRCyELQnSw
