source	target	depth
energy conservation	annual fuel use efficiency	1
energy conservation	domestic energy consumption	1
energy conservation	efficient energy use	1
energy conservation	energy conservation law	1
energy conservation	energy crisis	1
energy conservation	energy monitoring and targeting	1
energy conservation	energy recovery	1
energy conservation	eu energy efficiency directive 2012/27/eu	1
energy conservation	green computing	1
energy conservation	heat pump	1
energy conservation	high-temperature insulation wool	1
energy conservation	jevons paradox	1
energy conservation	khazzoom–brookes postulate	1
energy conservation	low carbon communities	1
energy conservation	marine fuel management	1
energy conservation	minimum energy performance standard	1
energy conservation	one watt initiative	1
energy conservation	overconsumption	1
energy conservation	passive house	1
energy conservation	renewable heat	1
energy conservation	smart grid	1
energy conservation	superinsulation	1
energy conservation	thermal efficiency	1
energy conservation	universal metering interface	1
energy conservation	window film	1
energy conservation	zero-energy building	1
zero-energy building	autonomous building	2
zero-energy building	building-integrated photovoltaics	2
zero-energy building	deep energy retrofit	2
zero-energy building	earthship	2
zero-energy building	ecocities	2
zero-energy building	energy conservation	2
zero-energy building	energy neutral design	2
zero-energy building	environmental design	2
zero-energy building	environmental economics	2
zero-energy building	green building	2
zero-energy building	home energy monitor	2
zero-energy building	life cycle analysis	2
zero-energy building	low-energy house	2
zero-energy building	natural building	2
zero-energy building	off-the-grid	2
zero-energy building	passive cooling	2
zero-energy building	passive house	2
zero-energy building	passive solar building design	2
zero-energy building	passive solar	2
zero-energy building	peak oil	2
zero-energy building	plug load	2
zero-energy building	sustainable design	2
zero-energy building	zero-net-energy usa federal buildings	2
thermal efficiency	kalina cycle	2
thermal efficiency	electrical efficiency	2
thermal efficiency	mechanical efficiency	2
thermal efficiency	heat engine	2
thermal efficiency	federal roofing tax credit for energy efficiency	2
thermal efficiency	lower heating value	2
thermal efficiency	relative cost of electricity generated by different sources	2
thermal efficiency	higher heating value	2
thermal efficiency	energy conversion efficiency	2
renewable heat	air source heat pumps	2
renewable heat	autonomous building	2
renewable heat	architectural engineering	2
renewable heat	biogas	2
renewable heat	energy conservation	2
renewable heat	ground source heat pump	2
renewable heat	green architecture	2
renewable heat	green building	2
renewable heat	hot water heat recycling	2
renewable heat	superinsulation	2
renewable heat	sustainability	2
renewable heat	sustainable design	2
renewable heat	mitigation of global warming	2
renewable heat	natural building	2
renewable heat	passive house	2
renewable heat	passive solar	2
renewable heat	renewable energy	2
renewable heat	renewable energy development	2
renewable heat	solar air heat	2
renewable heat	solar combisystem	2
renewable heat	solar hot water	2
renewable heat	solar power	2
renewable heat	european biomass association	2
renewable heat	thermal insulation	2
renewable heat	underfloor heating	2
renewable heat	wood briquette	2
renewable heat	zero energy building	2
passive house	energuide	2
passive house	energy-plus building	2
passive house	green building	2
passive house	history of passive solar building design	2
passive house	home energy rating	2
passive house	house energy rating	2
passive house	low-energy house	2
passive house	national home energy rating	2
passive house	passive solar	2
passive house	plusenergy	2
passive house	r-2000 program	2
passive house	renewable heat	2
passive house	self-sufficient homes	2
passive house	solar air heat	2
overconsumption	artificial demand	2
overconsumption	collaborative consumption	2
overconsumption	conspicuous consumption	2
overconsumption	consumption (economics)	2
overconsumption	degrowth	2
overconsumption	environmental studies	2
overconsumption	externality	2
overconsumption	mottainai	2
overconsumption	overexploitation	2
overconsumption	overshoot (population)	2
overconsumption	peak copper	2
overconsumption	peak oil	2
overconsumption	preorder economy	2
overconsumption	santosha	2
overconsumption	steady-state economy	2
overconsumption	surplus: terrorized into being consumers	2
marine fuel management	energy conservation	2
marine fuel management	fuel	2
marine fuel management	fuel oil	2
marine fuel management	fuel price risk management	2
marine fuel management	fuel management systems	2
marine fuel management	marine propulsion	2
marine fuel management	marpol	2
marine fuel management	ship pollution	2
marine fuel management	environmental impact of shipping	2
khazzoom–brookes postulate	energy conservation	2
khazzoom–brookes postulate	rebound effect (conservation)	2
jevons paradox	downs–thomson paradox	2
jevons paradox	rebound effect (conservation)	2
green computing	computational sustainability	2
green computing	green information system	2
green computing	camara (charity)	2
green computing	challenging the chip	2
green computing	desktop virtualization	2
green computing	data migration	2
green computing	digger gold	2
green computing	e-cycling	2
green computing	eday	2
green computing	california electronic waste recycling act	2
green computing	energy efficient ethernet	2
green computing	energy use in the united states	2
green computing	ieee 1680	2
green computing	interconnect bottleneck	2
green computing	it energy management	2
green computing	minimalism (computing)	2
green computing	optical communication	2
green computing	optical fiber cable	2
green computing	optical interconnect	2
green computing	parallel optical interface	2
green computing	plug computer	2
green computing	power factor	2
green computing	power usage effectiveness	2
green computing	rebound effect (conservation)	2
green computing	restriction of hazardous substances directive	2
green computing	standby power	2
green computing	sustainable electronics initiative	2
green computing	time-sharing	2
green computing	thunderbolt (interface)	2
green computing	virtual application	2
eu energy efficiency directive 2012/27/eu	energy conservation	2
eu energy efficiency directive 2012/27/eu	energy efficiency in europe (study)	2
eu energy efficiency directive 2012/27/eu	energy policy of the european union	2
eu energy efficiency directive 2012/27/eu	eu renewable energy directive 2009/28/ec	2
eu energy efficiency directive 2012/27/eu	renewable energy	2
eu energy efficiency directive 2012/27/eu	directive (european union)	2
eu energy efficiency directive 2012/27/eu	german national action plan on energy efficiency	2
eu energy efficiency directive 2012/27/eu	white certificates	2
energy recovery	efficient energy use	2
energy recovery	energy conservation	2
energy recovery	dweer	2
energy recovery	mechanical vapor recompression	2
energy recovery	pinch analysis	2
conservation movement	energy conservation	0
alternative energy	energy conservation	0
non-renewable resource	energy conservation	0
power outage	energy conservation	0
fuel efficiency	energy conservation	0
ipcc third assessment report	energy conservation	0
energy demand management	energy conservation	0
19-inch rack	data center	0
colocation centre	data center	0
server farm	data center	0
content delivery network	data center	0
network operations center	data center	0
dedicated hosting service	data center	0
equinix	data center	0
data library	data center	0
optical link	data center	0
distributed networking	data center	0
central apparatus room	data center	0
microgeneration	domestic energy consumption	1
energy storage	efficient energy use	1
renewable energy	efficient energy use	1
hybrid vehicle	efficient energy use	1
distributed generation	efficient energy use	1
fuel efficiency	efficient energy use	1
blower door	efficient energy use	1
peak oil	efficient energy use	1
energy management software	energy monitoring and targeting	1
the limits to growth	energy crisis	1
california electricity crisis	energy crisis	1
energy carrier	energy crisis	1
petroleum industry	energy crisis	1
scarcity	energy crisis	1
social metabolism	energy crisis	1
dematerialization (economics)	energy crisis	1
energy audit	energy recovery	1
efficient energy use	energy recovery	1
energy policy of the european union	eu energy efficiency directive 2012/27/eu	1
efficient energy use	eu energy efficiency directive 2012/27/eu	1
energy efficiency implementation	eu energy efficiency directive 2012/27/eu	1
energy efficiency in europe (study)	eu energy efficiency directive 2012/27/eu	1
algorithmic efficiency	green computing	1
server farm	green computing	1
green chemistry	green computing	1
climate change mitigation	green computing	1
standby power	green computing	1
edge computing	green computing	1
optical link	green computing	1
texas campaign for the environment	green computing	1
80 plus	green computing	1
power usage effectiveness	green computing	1
computational sustainability	green computing	1
data center infrastructure efficiency	green computing	1
green power usage effectiveness	green computing	1
efficient energy use	khazzoom–brookes postulate	1
braess's paradox	jevons paradox	1
peak oil	jevons paradox	1
steady-state economy	jevons paradox	1
rebound effect (conservation)	jevons paradox	1
resource consumption	jevons paradox	1
low-carbon economy	low carbon communities	1
ship	marine fuel management	1
